一	yī
不妨	bùfáng
不安	bùān
不定	bùdìng
不宜	bùyí
不客气	búkèqì
不容	bùróng
不对	búduì
不对劲	búduìjìn
不少	bùshǎo
不屑	bùxiè
不已	bùyǐ
不平	bùpíng
不幸	bùxìng
不当	bùdàng
不得	bùdé
不得不	bùdébù
不得了	bùdéle
不得已	bùdéyǐ
不得而知	bùdéérzhī
不必	bùbì
不怎么	bùzěnme
不怎么样	bùzěnmeyàng
不惜	bùxī
不慎	bùshèn
不懈	bùxiè
不成	bùchéng
不折不扣	bùzhébúkòu
不敢当	bùgǎndāng
不料	bùliào
不断	bùduàn
不时	bùshí
不易	bùyì
不景气	bùjǐngqì
不曾	bùcéng
不服	bùfú
不服气	bùfúqì
不朽	bùxiǔ
不止	bùzhǐ
不正之风	bùzhèngzhīfēng
不法	bùfă
不满	bùmǎn
不然	bùrán
不理	bùlǐ
不用	bùyòng
不用说	búyòngshuō
不由得	bùyóude
不由自主	bùyóuzìzhǔ
不相上下	bùxiāngshàngxià
不知	bùzhī
不知不觉	bùzhībùjué
不知所措	bùzhīsuǒcuò
不禁	bùjīn
不等	bùděng
不算	bùsuàn
不管	bùguǎn
不约而同	bùyuēértóng
不经意	bùjīngyì
不翼而飞	bùyìérfēi
不耐烦	bùnàifán
不耻下问	bùchǐxiàwèn
不肖	bùxiào
不肯	bùkěn
不能不	bùnéngbù
不至于	bùzhìyú
不致	bùzhì
不良	bùliáng
不行	bùxíng
不要	búyào
不要紧	búyàojǐn
不见	bújiàn
不见(了)	bùjiàn
不见得	bújiànde
不觉	bùjué
不解	bùjiě
不许	bùxǔ
不论	bùlùn
不起眼	bùqǐyǎn
不足	bùzú
不辞而别	bùcíérbié
不过	bùguò
不适	bùshì
不通	bùtōng
不错	bùcuò
不难	bùnán
不顾	bùgù
与	yǔ
与众不同	yǔzhòngbùtóng
与会	yùhuì
与其	yǔqí
与否	yǔfǒu
与日俱增	yǔrìjùzēng
与时俱进	yǔshíjùjìn
与此同时	yǔcǐtóngshí
与生俱来	yǔshēngjùlái
丑	chǒu
丑恶	chǒuè
丑闻	chǒuwén
丑陋	chǒulòu
专业	zhuānyè
专人	zhuānrén
专利	zhuānlì
专制	zhuānzhì
专卖店	zhuānmàidiàn
专员	zhuānyuán
专家	zhuānjiā
专属	zhuānshǔ
专心	zhuānxīn
专权	zhuānquán
专柜	zhuānguì
专栏	zhuānlán
专案	zhuānàn
专注	zhuānzhù
专用	zhuānyòng
专科	zhuānkē
专程	zhuānchéng
专职	zhuānzhí
专著	zhuānzhù
专辑	zhuānjí
专长	zhuāncháng
专门	zhuānmén
专题	zhuāntí
且	qiě
世	shì
世事	shìshì
世人	shìrén
世代	shìdài
世俗	shìsú
世家	shìjiā
世故	shìgù
世界	shìjiè
世界杯	shìjièbēi
世界级	shìjièjí
世纪	shìjì
世袭	shìxí
世间	shìjiān
丘陵	qiūlíng
丙	bǐng
业	yè
业余	yèyú
业务	yèwù
业界	yèjiè
业绩	yèjì
丛	cóng
丛书	cóngshū
丛林	cónglín
东	dōng
东北	dōngběi
东南	dōngnán
东奔西走	dōngbēnxīzǒu
东张西望	dōngzhāngxīwàng
东方	dōngfāng
东西	dōngxī
东边	dōngbiān
东道主	dōngdàozhǔ
东部	dōngbù
丝	sī
丝毫	sīháo
丝绸	sīchóu
丢	diū
丢人	diūrén
丢失	diūshī
丢弃	diūqì
丢掉	diūdiào
丢脸	diūliǎn
两	liǎng
两侧	liǎngcè
两口子	liǎngkǒuzi
两岸	liǎngàn
两手	liǎngshǒu
两极	liăngjí
两栖	liǎngqī
两边	liǎngbiān
两难	liǎngnán
严	yán
严厉	yánlì
严密	yánmì
严峻	yánjùn
严格	yángé
严禁	yánjìn
严肃	yánsù
严苛	yánkē
严谨	yánjǐn
严重	yánzhòng
丧事	sāngshì
丧失	sàngshī
丧生	sàngshēng
丧礼	sānglǐ
